selector_source_pool	cross_evaluator_pool	selector_model	selector_bits	candidates_per_payload	sampled_payloads	base_fixed_payload_bits	payload_bits_after_selection	payload_bits_per_variable_nt	own_model_mean_gain_vs_fiber	own_model_gain_minimum	own_model_gain_q25	own_model_gain_median	own_model_gain_q75	own_model_gain_maximum	own_gain_ci_2p5	own_gain_ci_97p5	cross_model_mean_gain_vs_fiber	cross_model_gain_minimum	cross_model_gain_q25	cross_model_gain_median	cross_model_gain_q75	cross_model_gain_maximum	cross_gain_ci_2p5	cross_gain_ci_97p5	own_model_fiber_score_variance_mean	own_model_fiber_score_variance_median	cross_model_fiber_score_variance_mean	cross_model_fiber_score_variance_median	own_model_negative_gain_fraction	own_model_zero_gain_fraction	fibers_improved_in_own_model_fraction	cross_model_negative_gain_fraction	cross_model_zero_gain_fraction	fibers_improved_in_cross_model_fraction	score_decimal_places	choices_changed_by_quantization	quantized_extremum_tie_fibers	minimum_raw_top_gap	selected_roundtrip_failures	inference_boundary
GCall	GCfix	P0_composition	0	1	512	213	213	1.9722222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	12	0	0	inf	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P2_assay_context	0	1	512	213	213	1.9722222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	12	0	0	inf	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P5_combined_context	0	1	512	213	213	1.9722222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	12	0	0	inf	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P0_composition	1	2	512	213	212	1.962962962962963	0.00027129726431587733	1.9835967801640209e-07	0.00010247964947585064	0.00024643127485118876	0.00039863898952680055	0.0009012353794024541	0.00025421748478668724	0.00028871180676837827	0.00018783818161853668	-0.0005198631604409476	-1.4458297896036143e-05	0.00017085542489286842	0.00037910453573736236	0.0010753974480928186	0.00016484638093116374	0.00021138653953060938	1.1488824302660992e-07	6.072858707574814e-08	1.1135332093810315e-07	4.559013872583889e-08	0.0	0.0	1.0	0.26953125	0.00390625	0.7265625	12	0	0	3.9671935603280417e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P2_assay_context	1	2	512	213	212	1.962962962962963	0.0010176726229797867	1.6908937114923361e-06	0.00042220834364764537	0.0008103087903447159	0.0014507191098883654	0.004916145543683914	0.0009516533300290505	0.0010862949991164914	0.0011030900033396217	-0.0008698600885839181	0.00043582395167773846	0.001003672288614199	0.0016366414449909827	0.004964760031780591	0.0010261695203068754	0.0011873447862638777	1.6657653309263788e-06	6.566030577099517e-07	2.1303909137023728e-06	1.0073594572616075e-06	0.0	0.0	1.0	0.083984375	0.0	0.916015625	12	0	0	3.3817874229846723e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P5_combined_context	1	2	512	213	212	1.962962962962963	0.0013426630790471222	4.2092713037344964e-07	0.0004960807733463968	0.0010364123631055322	0.0018210561288534988	0.007002896944670267	0.001239083617591446	0.001448850381558151	0.0013866547155933712	-0.0008278351472794654	0.000466305577801418	0.0011555392123978603	0.002062076634157556	0.0069359783698687005	0.0012768581837788657	0.0015018895330991672	3.1527380952296566e-06	1.0741526898838112e-06	3.5377845759053904e-06	1.3352776654520407e-06	0.0	0.0	1.0	0.095703125	0.0	0.904296875	12	0	0	8.41854260635877e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P0_composition	2	4	512	213	211	1.9537037037037037	0.0005252479629733358	6.0851846834242274e-05	0.0003379689846423062	0.0004988635677721232	0.0006732457355684007	0.001511378757657278	0.000503864288042486	0.0005472595076526564	0.000372304419525085	-0.0006022524062062606	0.0001377681357927485	0.0003649174150129886	0.000605240041537447	0.0013999843731731243	0.00034368703946806707	0.00040196078830253597	1.9491172257324664e-07	1.5454709620905648e-07	1.814971450914048e-07	1.4628537652293885e-07	0.0	0.0	1.0	0.119140625	0.0	0.880859375	12	0	1	0.0	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P2_assay_context	2	4	512	213	211	1.9537037037037037	0.0018914316946844628	0.00021657046272527403	0.001217437441495689	0.0017953774594008376	0.002403926540814727	0.005004834939715819	0.0018167070716826527	0.001967617355581886	0.0020153796083191254	-0.0006969949533972564	0.0013000862358570064	0.0018927451888282598	0.0026626221465779754	0.005450507053178288	0.0019216514984727391	0.0021120348575131664	2.8928136129421297e-06	2.0767587458135526e-06	3.599205883587495e-06	2.4676980160001945e-06	0.0	0.0	1.0	0.01171875	0.0	0.98828125	12	0	0	4.390771127571469e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P5_combined_context	2	4	512	213	211	1.9537037037037037	0.0023927398409782016	0.00017771443076508575	0.0015457387835298153	0.002198197154456627	0.0030620677894323545	0.00881419954169882	0.0022879858542420883	0.0025002184822200215	0.002508101657472562	-0.00019141603417249797	0.0015476731702924185	0.0024131727105198286	0.0032763126406172294	0.00824504810606519	0.002396551331175659	0.0026198900206762564	5.5062048165325444e-06	3.277545986673056e-06	6.122471293143727e-06	3.680577216383314e-06	0.0	0.0	1.0	0.00390625	0.0	0.99609375	12	0	0	2.732856950293794e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P0_composition	3	8	512	213	210	1.9444444444444444	0.0007194793424008829	0.00021245486192977836	0.0005541742470476785	0.0006939688737329086	0.0008524758811235267	0.0018416377492683766	0.0006995692627920841	0.0007421905688276344	0.0005168915924504932	-0.0004948323737731242	0.000260147613457995	0.000506308578011816	0.000738233017281098	0.0016630560827746166	0.0004870686829245455	0.0005470011711765776	2.16654447650491e-07	2.0148619791611289e-07	2.1540770880330264e-07	2.0129182217650485e-07	0.0	0.0	1.0	0.07421875	0.0	0.92578125	12	0	3	0.0	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P2_assay_context	3	8	512	213	210	1.9444444444444444	0.00243386872421602	0.0007176888976683227	0.0019290918209562413	0.002393913278523452	0.0028921030340564036	0.0057330688630914395	0.002365158555843024	0.0024983046197043324	0.0025725251440998397	-0.0004095638677532598	0.001937422747012807	0.002491323674249979	0.0032357207605183125	0.005795541410448357	0.0024891526308858337	0.002652643773583628	3.2126093189931377e-06	2.8647129437096958e-06	4.042959532295352e-06	3.501606141556186e-06	0.0	0.0	1.0	0.001953125	0.0	0.998046875	12	0	0	2.9323379724388587e-08	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P5_combined_context	3	8	512	213	210	1.9444444444444444	0.003090803185464935	0.0006483509715349278	0.002332920117442683	0.002966870798859489	0.003710547734247671	0.011125776423418943	0.002997600253626671	0.0031858987631082	0.00323078436669775	0.00013941058829636255	0.002350115979810302	0.003023825592544882	0.003992462459385587	0.010785858562296524	0.0031232130223438643	0.003343203523598168	6.52902748499792e-06	4.4298178054724754e-06	7.375693143412957e-06	5.288935203790561e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	1.988267406938249e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P0_composition	4	16	512	213	209	1.9351851851851851	0.0008826536680410304	0.00028949183147741753	0.0007213853372057266	0.0008668404064535729	0.0010263180003634853	0.0016436522672278464	0.0008628003508019377	0.000901164777256946	0.0006322218751082032	-0.0003565050931305658	0.0003937103017043475	0.0006045439640545713	0.0008620999586931022	0.001737160085032552	0.0006015275998468402	0.0006616406559287516	2.2193016066410679e-07	2.1562201998000715e-07	2.2203825246260065e-07	2.1293605459405844e-07	0.0	0.0	1.0	0.01953125	0.0	0.98046875	12	0	1	0.0	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P2_assay_context	4	16	512	213	209	1.9351851851851851	0.0028098688134376047	0.0008451217325891047	0.002360318053085203	0.002810943303854785	0.003231574696737738	0.004780168806665319	0.0027555888971360107	0.0028633902974659017	0.0029979530478899223	0.0002942191478778611	0.002439928684340509	0.003013137099668939	0.0035502642228001924	0.0059573728970615525	0.002927846391921469	0.0030677362303249242	3.2391080868631994e-06	3.09370835719329e-06	4.0958297706186864e-06	3.824389309254966e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	6.383076858185177e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P5_combined_context	4	16	512	213	209	1.9351851851851851	0.0036423481227767897	0.001764984188010299	0.0030076297974496735	0.003624508642992852	0.004181597078395827	0.006978296047693844	0.0035652716904462462	0.003724350695545583	0.0037868929443107303	0.0007782223501797692	0.003019193573585127	0.0037713702382510816	0.004507509282428046	0.007102430298310924	0.003691515390255388	0.0038804078389038706	6.0831305791956726e-06	5.165276992210437e-06	6.944932513069216e-06	5.909725068551709e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	3.092936111670497e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P0_composition	5	32	512	213	208	1.9259259259259258	0.0010410827037958743	0.0006034337373539422	0.0008957812552859157	0.0010244771395401808	0.0011678553075384068	0.0017414100927157783	0.0010225897145759307	0.0010594785456078913	0.0007846678568864617	-8.232442348488078e-05	0.0005460506837008106	0.0007426982621012157	0.0010135342271905823	0.0017835209573470179	0.0007556856148774935	0.0008135958968702526	2.3448925436226702e-07	2.2948946340955476e-07	2.3418761646562475e-07	2.3427555463417955e-07	0.0	0.0	1.0	0.001953125	0.0	0.998046875	12	0	2	0.0	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P2_assay_context	5	32	512	213	208	1.9259259259259258	0.0032696967030026716	0.002017155872962473	0.00287688575473638	0.0032153055201686875	0.0036381343046807957	0.0059016220051133494	0.0032212777178577214	0.0033205973649616926	0.003405854674436391	0.0009230299076131709	0.002869376329252271	0.003364185241760631	0.003870694497775884	0.00737206386003697	0.0033425752746528764	0.003471418755084205	3.4096407634841027e-06	3.3197653479296667e-06	4.2967992781845086e-06	4.1596679654877325e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	4.75602706995204e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P5_combined_context	5	32	512	213	208	1.9259259259259258	0.0042290437098115394	0.002198975041636686	0.0036615646183293937	0.004188573265142104	0.004739176464837347	0.006581636770928823	0.004164062534468789	0.004298977136869723	0.004421042551647574	0.0015807995323910973	0.003726092960091132	0.004396869583352669	0.005095968931753014	0.00827225703115464	0.004332739557902998	0.004505551647819058	6.849367441700116e-06	5.753437900597687e-06	7.591992739468365e-06	6.55172883910364e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	1.0765363513964843e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P0_composition	6	64	512	213	207	1.9166666666666667	0.0011742483365621706	0.0007056922436525781	0.001043107910682628	0.0011567638574908612	0.0012966680973778288	0.001923934340914757	0.0011563983142711212	0.0011915348338790615	0.0009346986526183871	0.00024337311464983635	0.0006925156229090901	0.0009319858055671926	0.0011330421735727958	0.0019656570417871944	0.0009071028821872707	0.0009607052562259213	2.3887090766788387e-07	2.3974806974852513e-07	2.390375358711416e-07	2.389111382187559e-07	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	3.9671935581075957e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P2_assay_context	6	64	512	213	207	1.9166666666666667	0.00361051794578265	0.0022778851387301735	0.0032594888937350353	0.003570956816409121	0.003950536613027633	0.0050388670816203796	0.0035675399550317236	0.003650089091537671	0.0037590265761045876	0.001316969572960236	0.0032609666419421424	0.0037514392465745616	0.004186433200135342	0.006235631337883074	0.0036949722267975577	0.003821528960521175	3.513366919456499e-06	3.4531037964034586e-06	4.399434875668597e-06	4.299913034421162e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	2.8088521375480013e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCall	GCfix	P5_combined_context	6	64	512	213	207	1.9166666666666667	0.004720180206624153	0.0027654195355690803	0.0042186203390300325	0.004691806971348744	0.005169195261250342	0.0069410003935606035	0.004660990553191871	0.004782187195657418	0.0048738456248778326	0.0025125517524400287	0.004288056130715812	0.004845995308873419	0.005466619195470285	0.007261699402106969	0.004800508590185842	0.004949189529572688	6.687337784151275e-06	6.016114748969924e-06	7.494298841600826e-06	6.9257804544861676e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	1.892212466714227e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P0_composition	0	1	512	213	213	1.9722222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	12	0	0	inf	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P2_assay_context	0	1	512	213	213	1.9722222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	12	0	0	inf	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P5_combined_context	0	1	512	213	213	1.9722222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	12	0	0	inf	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P0_composition	1	2	512	213	212	1.962962962962963	0.0002660039607082466	0.0	0.00010660673083306982	0.00021351844976613688	0.00038467886275905805	0.0010753974480928186	0.0002494814304259638	0.0002828727258347138	0.0001866822526900081	-0.00048463286867606037	-1.0363261619406039e-05	0.00017646848625196832	0.0003855961572765132	0.0009012353794024541	0.0001615948134898407	0.00020991084420654517	1.1135332093810315e-07	4.559013872583889e-08	1.1488824302660992e-07	6.072858707574814e-08	0.0	0.00390625	0.99609375	0.271484375	0.0	0.728515625	12	0	2	0.0	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P2_assay_context	1	2	512	213	212	1.962962962962963	0.001160336134968675	3.6541636450060366e-07	0.0005000910331222075	0.001003672288614199	0.0016366414449909827	0.004964760031780591	0.0010819336693577662	0.0012349087553698674	0.0009841466647291994	-0.0005830579430590177	0.0004038959486803162	0.0008103087903447159	0.0014507191098883654	0.004916145543683914	0.0009126299625858402	0.001056443587330009	2.1303909137023728e-06	1.0073594572616075e-06	1.6657653309263788e-06	6.566030577099517e-07	0.0	0.0	1.0	0.083984375	0.0	0.916015625	12	0	0	7.30832728890185e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P5_combined_context	1	2	512	213	212	1.962962962962963	0.0014375239747522763	2.5186074179561757e-06	0.0004997199089329385	0.0011555392123978603	0.002062076634157556	0.0069359783698687005	0.0013367226806078015	0.0015412928389875096	0.0012969439738055974	-0.0007077699954269878	0.000446287484274166	0.0010364123631055322	0.0018210561288534988	0.007002896944670267	0.0011918162007572898	0.001395403518842522	3.5377845759053904e-06	1.3352776654520407e-06	3.1527380952296566e-06	1.0741526898838112e-06	0.0	0.0	1.0	0.095703125	0.0	0.904296875	12	0	0	5.037214835912351e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P0_composition	2	4	512	213	211	1.9537037037037037	0.0004987356080978483	4.286635027317409e-05	0.0003169342198680314	0.0004699540811554659	0.0006365031091968842	0.0013999843731731243	0.00047760203785227187	0.0005190297551777129	0.00038779404857229886	-0.0004499569936692316	0.0001406902878315075	0.0003615177246069079	0.0006111284009190365	0.001511378757657278	0.0003586126826116224	0.00041770934117907603	1.814971450914048e-07	1.4628537652293885e-07	1.9491172257324664e-07	1.5454709620905648e-07	0.0	0.0	1.0	0.12109375	0.0	0.87890625	12	0	3	0.0	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P2_assay_context	2	4	512	213	211	1.9537037037037037	0.002097808918345263	0.00018386708208284475	0.001374160510832667	0.0019240196679233268	0.0026698300789026463	0.005450507053178288	0.0020129452882483006	0.002183930963778696	0.0018178305823998765	-0.000388599252508226	0.0011426029825757356	0.001782712499881156	0.002396909326226049	0.005004834939715819	0.0017390395058055068	0.0019009672891677762	3.599205883587495e-06	2.4676980160001945e-06	2.8928136129421297e-06	2.0767587458135526e-06	0.0	0.0	1.0	0.013671875	0.0	0.986328125	12	0	0	1.660196225072852e-05	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P5_combined_context	2	4	512	213	211	1.9537037037037037	0.002592126112759909	0.00012097042469183528	0.0016556412259849385	0.0024475251275900556	0.003297601323417748	0.008744396071720173	0.0024875217508683227	0.002702630150330232	0.002312627412186215	-0.00037391822627996785	0.0014639370772406846	0.0021492768426711883	0.003050869447333404	0.00838756988472067	0.0022006522096043686	0.002418481272785353	6.122471293143727e-06	3.680577216383314e-06	5.5062048165325444e-06	3.277545986673056e-06	0.0	0.0	1.0	0.009765625	0.0	0.990234375	12	0	0	2.729673882262418e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P0_composition	3	8	512	213	210	1.9444444444444444	0.0007065628179470111	9.100203946810215e-05	0.0005422705586953236	0.0006668032347864061	0.000858945008291423	0.0016630560827746166	0.0006844819074163268	0.0007285077758825531	0.0005394467811245713	-0.00038041231055285785	0.0002639366166827528	0.00054802623487471	0.0007946789323978187	0.0018416377492683766	0.0005071572478821856	0.000571074241113334	2.1540770880330264e-07	2.0129182217650485e-07	2.16654447650491e-07	2.0148619791611289e-07	0.0	0.0	1.0	0.068359375	0.0	0.931640625	12	0	3	0.0	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P2_assay_context	3	8	512	213	210	1.9444444444444444	0.0027125695995076655	0.0007942465812647015	0.0020964263029284447	0.0026281503129561568	0.0032951388513789703	0.005795541410448357	0.002641920367226259	0.00278686279661781	0.0023063984718427214	0.00020970051319602057	0.0017402446825316442	0.0023087295272269936	0.0028170763117656983	0.0057330688630914395	0.0022330142952882216	0.002379961132266386	4.042959532295352e-06	3.501606141556186e-06	3.2126093189931377e-06	2.8647129437096958e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	2.4621515071210354e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P5_combined_context	3	8	512	213	210	1.9444444444444444	0.0033557191500790872	0.0007879291232517627	0.00254914233246728	0.0031631514425725094	0.004057766653870198	0.010785858562296524	0.0032514578514694255	0.003462482916001732	0.002970323724025726	0.00026215458093514776	0.0020999468905544827	0.002869320256389307	0.0036531073551422932	0.011125776423418943	0.002867378057440271	0.0030776962592064965	7.375693143412957e-06	5.288935203790561e-06	6.52902748499792e-06	4.4298178054724754e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	2.530886562102097e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P0_composition	4	16	512	213	209	1.9351851851851851	0.0008537493546401404	0.0003490585668980417	0.0006823599285640802	0.0008278584235669739	0.0009868161850329904	0.001737160085032552	0.000833720082995801	0.0008742454119507122	0.0006428066237077067	-0.00034630467773355544	0.00035273431286456103	0.0006151303431751742	0.0009198714198178914	0.0016436522672278464	0.0006107163502691082	0.0006748050788984174	2.2203825246260065e-07	2.1293605459405844e-07	2.2193016066410679e-07	2.1562201998000715e-07	0.0	0.0	1.0	0.021484375	0.0	0.978515625	12	0	6	0.0	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P2_assay_context	4	16	512	213	209	1.9351851851851851	0.0031863678109297494	0.0010928987166491932	0.002698145237655908	0.0031553217239657094	0.0036367813313387953	0.0059573728970615525	0.0031287333262101104	0.0032506585512271924	0.002646014263315264	0.000618449604943061	0.0021482393919817766	0.002618337038025942	0.0031707407597657	0.004780168806665319	0.002582790837821098	0.002705096564260254	4.0958297706186864e-06	3.824389309254966e-06	3.2391080868631994e-06	3.09370835719329e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	7.3107772389224834e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P5_combined_context	4	16	512	213	209	1.9351851851851851	0.003953019880606341	0.0015535470310292787	0.003256418877022993	0.003906696798134046	0.004607024504277246	0.007102430298310924	0.0038722229527407754	0.004040377804308678	0.00348049457786066	0.0007513612760998711	0.002743568525169271	0.0035276541031752373	0.004127571046475681	0.006978296047693844	0.0033849687918629085	0.003568751130294597	6.944932513069216e-06	5.909725068551709e-06	6.0831305791956726e-06	5.165276992210437e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	5.030410550332931e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P0_composition	5	32	512	213	208	1.9259259259259258	0.001022123815968851	0.0005624894885914999	0.0008564751570190321	0.001004722335322561	0.0011570994311349836	0.0017835209573470179	0.0010022077561930662	0.0010413131572276366	0.0007502501434421211	1.1874403534894995e-06	0.0004821430562646778	0.0006910770732030391	0.0010202357364899883	0.0017414100927157783	0.0007185644134242987	0.0007844767055070313	2.3418761646562475e-07	2.3427555463417955e-07	2.3448925436226702e-07	2.2948946340955476e-07	0.0	0.0	1.0	0.0	0.0	1.0	12	0	5	0.0	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P2_assay_context	5	32	512	213	208	1.9259259259259258	0.0036391092332269492	0.0021652996628576116	0.0031775521688273967	0.003563397395836776	0.004017716994902526	0.00737206386003697	0.003580492934448685	0.003701003919808156	0.0030596854191540755	0.0009624698813646138	0.0025709303831419894	0.0030589364998668267	0.0035915410177935203	0.0059016220051133494	0.0029978375775119377	0.0031209083327527207	4.2967992781845086e-06	4.1596679654877325e-06	3.4096407634841027e-06	3.3197653479296667e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	2.326099062255338e-07	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P5_combined_context	5	32	512	213	208	1.9259259259259258	0.004584535663645761	0.002321088469312338	0.003937355813720872	0.004502369825960362	0.005141875654736172	0.00827225703115464	0.004508793087682843	0.004658092976042659	0.004047182290832361	0.0010689065647453422	0.003388787144940064	0.004036754251697916	0.0046636258249300455	0.006581636770928823	0.003966585749936593	0.004126273073913776	7.591992739468365e-06	6.55172883910364e-06	6.849367441700116e-06	5.753437900597687e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	4.538492142547312e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P0_composition	6	64	512	213	207	1.9166666666666667	0.0011619775622715538	0.0006806543112118923	0.0010120859273233251	0.0011380912389556963	0.0012980204289174124	0.0019656570417871944	0.001145091074580281	0.0011801642434748894	0.0008881488180596229	0.00014300049828785966	0.0005973551991054482	0.0008460025653743708	0.0011659523254702597	0.001923934340914757	0.0008571384566862281	0.0009193160646527115	2.390375358711416e-07	2.389111382187559e-07	2.3887090766788387e-07	2.3974806974852513e-07	0.0	0.0	1.0	0.0	0.0	1.0	12	0	7	0.0	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P2_assay_context	6	64	512	213	207	1.9166666666666667	0.0040367654218939515	0.002759945610695036	0.0036392457071888207	0.0039681189433937725	0.004366540438176969	0.006235631337883074	0.003987251920206276	0.004089445979216326	0.0033653897889735617	0.0013619421374890806	0.0029511233766862377	0.0033817764415635665	0.003833586595419547	0.0050388670816203796	0.003305499969145126	0.003420123415950599	4.399434875668597e-06	4.299913034421162e-06	3.513366919456499e-06	3.4531037964034586e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	1.1041235363773438e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
GCfix	GCall	P5_combined_context	6	64	512	213	207	1.9166666666666667	0.005098341234074062	0.0033324424164562494	0.004559531710903314	0.005048180055368334	0.005621392802691083	0.007261699402106969	0.005035961824996291	0.005159013345399601	0.00450811620751108	0.002267804778624649	0.003938528269334496	0.004470722514201886	0.0050254030536776295	0.0069410003935606035	0.00444007801271417	0.004575327814009458	7.494298841600826e-06	6.9257804544861676e-06	6.687337784151275e-06	6.016114748969924e-06	0.0	0.0	1.0	0.0	0.0	1.0	12	0	0	6.182646613117626e-06	0	bootstrap describes deterministic payload-sample variability, not biological replication
