direction	selector_model	selector_bits	payload_rank	choice_index	base_rank	sequence_sha256	observed_relative_efficiency	observed_low_efficiency_label	source_only_prediction	rerank	decoded_payload
GCall_to_GCfix	P0_composition	2	0	0	0	e7cc5a81e6963984ac20dcf8d3d49d3f22a63e42b8014117a36a817626432d52	0.9960771508867914	0	1.0002598226948385	0	0
GCall_to_GCfix	P0_composition	2	1	0	4	d818c196319361b2940d6c85e29a736027d9bf1faa55875cd0f8615cbcbdb666	0.9997186110050372	0	0.9998623026320292	4	1
GCall_to_GCfix	P0_composition	2	170	3	683	d957f09d8848c7414123b0f134d255c933c3bdda3f72083d5a96736391242fc1	0.9974993781352312	0	1.0004669206673917	683	170
GCall_to_GCfix	P0_composition	2	256	3	1027	807941bc7730fe82c349f42921f999c731aca247fc0da1b0ce4b96a2c6503ae5	0.9953467948440788	0	1.0004109772036751	1027	256
GCall_to_GCfix	P0_composition	2	510	3	2043	c224c3b4e6bb097651df79c53db2e8655c5de0ef0061e8162d4e356162ed30a0	1.0012236990376122	0	1.0004423912687974	2043	510
GCall_to_GCfix	P0_composition	2	511	0	2044	8b8f9fd531779a3f9f9ddaa389ed52bfd4416f0fc6de7e58b3a5fee2ed0b178f	0.9998179160353444	0	1.0004188307199555	2044	511
GCall_to_GCfix	P2_assay_context	2	0	1	1	a19917f52492c4f4fc334bb988ba873e8039194a65a66b8751845b0e0f0b60c0	1.003622930573572	0	1.0028420051635207	1	0
GCall_to_GCfix	P2_assay_context	2	1	3	7	1f426b7355edf9d881cc0f9b2baa8d5b96b6e704cf9923e45756d1b4371c878b	0.984007672595593	0	1.0005593796341588	7	1
GCall_to_GCfix	P2_assay_context	2	170	3	683	d957f09d8848c7414123b0f134d255c933c3bdda3f72083d5a96736391242fc1	0.9974993781352312	0	1.0004781373099856	683	170
GCall_to_GCfix	P2_assay_context	2	256	0	1024	3ee39f94f622a45902009477412c4bc561f2cb3bd803e53e88bcc7c2e7b4b8c8	1.0007510164340634	0	1.0009785882006537	1024	256
GCall_to_GCfix	P2_assay_context	2	510	2	2042	7cf78168b91a5402b3135e57371fb5eda24b173f9cc93f6b38f77a23890d3c52	1.0031241161262314	0	1.0032501260767874	2042	510
GCall_to_GCfix	P2_assay_context	2	511	2	2046	5229647e1c3936830ba2fb4ca2913eebb0d4bc8f28847d29d15b632cd9a62591	0.9972165858537824	0	1.0024876684071382	2046	511
GCall_to_GCfix	P5_combined_context	2	0	3	3	305ca8438d9fa9c2fb87b09137fdd1b3504883ebffeb776d938d984c18730eb0	1.0038380746587314	0	1.003760123676428	3	0
GCall_to_GCfix	P5_combined_context	2	1	3	7	1f426b7355edf9d881cc0f9b2baa8d5b96b6e704cf9923e45756d1b4371c878b	0.984007672595593	0	1.0007390883652076	7	1
GCall_to_GCfix	P5_combined_context	2	170	3	683	d957f09d8848c7414123b0f134d255c933c3bdda3f72083d5a96736391242fc1	0.9974993781352312	0	1.0011901576538953	683	170
GCall_to_GCfix	P5_combined_context	2	256	2	1026	22e696b472a8d1e1f9750799cbc31025b8df4a8f371729e857fc0a73c7eccca4	1.0003592152415033	0	1.0008632114244451	1026	256
GCall_to_GCfix	P5_combined_context	2	510	2	2042	7cf78168b91a5402b3135e57371fb5eda24b173f9cc93f6b38f77a23890d3c52	1.0031241161262314	0	1.0058151285760122	2042	510
GCall_to_GCfix	P5_combined_context	2	511	3	2047	cdb3b61334cbecfc165612187f0778338b189f94739ad9fd4ada7a23e44ba7b0	1.0049949163612033	0	1.0024980972257425	2047	511
GCall_to_GCfix	P0_composition	4	0	0	0	e7cc5a81e6963984ac20dcf8d3d49d3f22a63e42b8014117a36a817626432d52	0.9960771508867914	0	1.0002598226948385	0	0
GCall_to_GCfix	P0_composition	4	1	6	22	4e74a19e298c683404136612290000d81f656f8d44512ac5b522e7c47a83ac25	1.0001160392618988	0	1.0007368467701978	22	1
GCall_to_GCfix	P0_composition	4	42	11	683	d957f09d8848c7414123b0f134d255c933c3bdda3f72083d5a96736391242fc1	0.9974993781352312	0	1.0004669206673917	683	42
GCall_to_GCfix	P0_composition	4	64	3	1027	807941bc7730fe82c349f42921f999c731aca247fc0da1b0ce4b96a2c6503ae5	0.9953467948440788	0	1.0004109772036751	1027	64
GCall_to_GCfix	P0_composition	4	126	10	2026	b2c0c340f885ad53a093fd8540bf21298b38f9cababd78cd29c3f8a5e19d8b00	1.002291589735813	0	1.000514041765083	2026	126
GCall_to_GCfix	P0_composition	4	127	11	2043	c224c3b4e6bb097651df79c53db2e8655c5de0ef0061e8162d4e356162ed30a0	1.0012236990376122	0	1.0004423912687974	2043	127
GCall_to_GCfix	P2_assay_context	4	0	1	1	a19917f52492c4f4fc334bb988ba873e8039194a65a66b8751845b0e0f0b60c0	1.003622930573572	0	1.0028420051635207	1	0
GCall_to_GCfix	P2_assay_context	4	1	7	23	e6aeb43526c84a8bdf3d48b0202244933acb64c90e29f08ca81174fb6f590ad6	1.0015908332393346	0	1.0028383125437588	23	1
GCall_to_GCfix	P2_assay_context	4	42	6	678	0248f6d48b006ac47341c409b581e088e62bdb50659ff4535a710dcdfce4b3ba	1.0031952099129793	0	1.0032337088106296	678	42
GCall_to_GCfix	P2_assay_context	4	64	15	1039	0cd3cc72668fdc65f7944f58b53cc6171598aacc5c9d2c186d180892f7b38a93	1.003737354794551	0	1.0027610185700142	1039	64
GCall_to_GCfix	P2_assay_context	4	126	10	2026	b2c0c340f885ad53a093fd8540bf21298b38f9cababd78cd29c3f8a5e19d8b00	1.002291589735813	0	1.0027470484593246	2026	126
GCall_to_GCfix	P2_assay_context	4	127	10	2042	7cf78168b91a5402b3135e57371fb5eda24b173f9cc93f6b38f77a23890d3c52	1.0031241161262314	0	1.0032501260767874	2042	127
GCall_to_GCfix	P5_combined_context	4	0	3	3	305ca8438d9fa9c2fb87b09137fdd1b3504883ebffeb776d938d984c18730eb0	1.0038380746587314	0	1.003760123676428	3	0
GCall_to_GCfix	P5_combined_context	4	1	7	23	e6aeb43526c84a8bdf3d48b0202244933acb64c90e29f08ca81174fb6f590ad6	1.0015908332393346	0	1.002850843715626	23	1
GCall_to_GCfix	P5_combined_context	4	42	4	676	c8405e93828eb4d49f5e743ca844a7a760b550e89f7ed24d084f20b17fdf2cf5	0.9972684517471766	0	1.0028550351809813	676	42
GCall_to_GCfix	P5_combined_context	4	64	15	1039	0cd3cc72668fdc65f7944f58b53cc6171598aacc5c9d2c186d180892f7b38a93	1.003737354794551	0	1.00330147261149	1039	64
GCall_to_GCfix	P5_combined_context	4	126	11	2027	e5e84ac40dd1412ad6c673d030634c4a7d98b0d8e472d6cdfe8ba47400d8c1d4	1.004426084262097	0	1.0042038560497963	2027	126
GCall_to_GCfix	P5_combined_context	4	127	10	2042	7cf78168b91a5402b3135e57371fb5eda24b173f9cc93f6b38f77a23890d3c52	1.0031241161262314	0	1.0058151285760122	2042	127
GCfix_to_GCall	P0_composition	2	0	2	2	398791acb3370c186a5ddd871c1991700164c7aba5145d413a6a30a41f358971	0.9995939057804584	0	0.9999658551085238	2	0
GCfix_to_GCall	P0_composition	2	1	3	7	b87ebcb7658268613b707291da4dea9da8ddcbcffeb06139838e1fe6e62351ee	1.001858161959799	0	0.9999942293499717	7	1
GCfix_to_GCall	P0_composition	2	170	3	683	f08255b43af355852c130b52259708e103155ec2a980bde3631d3529828d69ec	1.0005888661293818	0	1.000123133388894	683	170
GCfix_to_GCall	P0_composition	2	256	0	1024	83f9c133b7d612e3e7d7c7d9929ef3b7da79176d1cc725b28904f6722a200c9d	1.0041888927741334	0	1.000293378837582	1024	256
GCfix_to_GCall	P0_composition	2	510	0	2040	a95faa02b298050d6387fa5eaf2a720483c39d4c9d0c26e274c9f103d607c71a	0.9997207650890269	0	1.000906271584339	2040	510
GCfix_to_GCall	P0_composition	2	511	1	2045	7509d04fb84eb61c1c91dc1955eae7a8ac4c8ca54b2e25f46bde23a9c907c1c7	0.9982589376094532	0	1.000123133388894	2045	511
GCfix_to_GCall	P2_assay_context	2	0	0	0	588bd68c098dd1920e9fe95f6b0ddc79d5c6dcd6cd8a817d2eca87f166e138f9	1.005224761731876	0	1.0001664711156528	0	0
GCfix_to_GCall	P2_assay_context	2	1	3	7	b87ebcb7658268613b707291da4dea9da8ddcbcffeb06139838e1fe6e62351ee	1.001858161959799	0	1.0007782428629521	7	1
GCfix_to_GCall	P2_assay_context	2	170	1	681	6b7742f50d821448f4c02bb7f50cd131945e1a08f5887e58a24c989cfc68e4d3	1.0003121545587357	0	1.0021003062131375	681	170
GCfix_to_GCall	P2_assay_context	2	256	0	1024	83f9c133b7d612e3e7d7c7d9929ef3b7da79176d1cc725b28904f6722a200c9d	1.0041888927741334	0	1.0035390378044382	1024	256
GCfix_to_GCall	P2_assay_context	2	510	0	2040	a95faa02b298050d6387fa5eaf2a720483c39d4c9d0c26e274c9f103d607c71a	0.9997207650890269	0	1.0030277345225993	2040	510
GCfix_to_GCall	P2_assay_context	2	511	2	2046	9a896a823d432ce647708601bfdc50bc497626e0267698af1b857c62cb16e9e3	0.9724778294582838	1	1.0027899548117476	2046	511
GCfix_to_GCall	P5_combined_context	2	0	0	0	588bd68c098dd1920e9fe95f6b0ddc79d5c6dcd6cd8a817d2eca87f166e138f9	1.005224761731876	0	1.0027748313618847	0	0
GCfix_to_GCall	P5_combined_context	2	1	3	7	b87ebcb7658268613b707291da4dea9da8ddcbcffeb06139838e1fe6e62351ee	1.001858161959799	0	1.0009685453795738	7	1
GCfix_to_GCall	P5_combined_context	2	170	1	681	6b7742f50d821448f4c02bb7f50cd131945e1a08f5887e58a24c989cfc68e4d3	1.0003121545587357	0	1.0042518482183087	681	170
GCfix_to_GCall	P5_combined_context	2	256	0	1024	83f9c133b7d612e3e7d7c7d9929ef3b7da79176d1cc725b28904f6722a200c9d	1.0041888927741334	0	1.0030213878037009	1024	256
GCfix_to_GCall	P5_combined_context	2	510	0	2040	a95faa02b298050d6387fa5eaf2a720483c39d4c9d0c26e274c9f103d607c71a	0.9997207650890269	0	1.0051338247743322	2040	510
GCfix_to_GCall	P5_combined_context	2	511	3	2047	416a3b91c2ab13c51a61ab390faad6d6effe1c1caadb504a51697ddbbf2df7a7	1.0048510578607106	0	1.0025223371400982	2047	511
GCfix_to_GCall	P0_composition	4	0	14	14	a01fab566c5dca2043be0270c78cf09e882ee2745bad1af9f871526da91ee4b8	1.004168270929909	0	1.0003651277428145	14	0
GCfix_to_GCall	P0_composition	4	1	11	27	73b7e2b559105d8501c83738c237ebb07d8f1d31eff00e24e3f7f62591c19c95	1.0035414446876136	0	1.000934645825787	27	1
GCfix_to_GCall	P0_composition	4	42	15	687	a21efe8a6cdba4123a8173657538860e114e46a94a3a425a81fd5974df51fac0	0.9973916301889786	0	1.0010201752009311	687	42
GCfix_to_GCall	P0_composition	4	64	4	1028	41bf33db6271430dcf2ca48bf09479edd72a5d46e3ef90343b88cbb73e22e235	0.9969839348373966	0	1.0005645607345506	1028	64
GCfix_to_GCall	P0_composition	4	126	3	2019	da42ac6da6146d5d2a9342865b0c5942753ea42aa1b8df385ae3624ee09c7893	1.0022699167115996	0	1.0006642772304293	2019	126
GCfix_to_GCall	P0_composition	4	127	1	2033	6ea26d5c054ecec361fdbbb8a467d48a77baca81faf845935ba8977de9884c35	1.0010839687172557	0	1.0009492395973096	2033	127
GCfix_to_GCall	P2_assay_context	4	0	12	12	ae0d4e2f1f19f9508d0a1a5d6dadee572e53cb617dc3e2705cf43274c8539133	1.0061744285864342	0	1.0020317084354675	12	0
GCfix_to_GCall	P2_assay_context	4	1	13	29	1ad98ef43450f764c357de6a76ea745280c791269bedb8bb228cf53e0989c84a	0.9981695817252588	0	1.003205572537942	29	1
GCfix_to_GCall	P2_assay_context	4	42	4	676	64bd32fc98584ad0848e6948b0d8acd146c523fb1e98576e3334eb4d52245011	1.001921138643678	0	1.0029437381089126	676	42
GCfix_to_GCall	P2_assay_context	4	64	0	1024	83f9c133b7d612e3e7d7c7d9929ef3b7da79176d1cc725b28904f6722a200c9d	1.0041888927741334	0	1.0035390378044382	1024	64
GCfix_to_GCall	P2_assay_context	4	126	0	2016	ece98a52ec2ee29042cc40c8260194d43ca0073c60f4288987f50f4c0580acd4	0.9985132505930294	0	1.0030363391567598	2016	126
GCfix_to_GCall	P2_assay_context	4	127	8	2040	a95faa02b298050d6387fa5eaf2a720483c39d4c9d0c26e274c9f103d607c71a	0.9997207650890269	0	1.0030277345225993	2040	127
GCfix_to_GCall	P5_combined_context	4	0	12	12	ae0d4e2f1f19f9508d0a1a5d6dadee572e53cb617dc3e2705cf43274c8539133	1.0061744285864342	0	1.0046503611552549	12	0
GCfix_to_GCall	P5_combined_context	4	1	9	25	340f5e5da53ba0c771b3b4edfc4caadaaefe4f25819f56e783bfb578e1f0f417	1.001463181543135	0	1.005302710845799	25	1
GCfix_to_GCall	P5_combined_context	4	42	9	681	6b7742f50d821448f4c02bb7f50cd131945e1a08f5887e58a24c989cfc68e4d3	1.0003121545587357	0	1.0042518482183087	681	42
GCfix_to_GCall	P5_combined_context	4	64	14	1038	d2ebd85362bb62cd0833ae1e416f48ff33dd0a6249c9053dc8e0c973edb94209	1.0025280638870968	0	1.0048921573487937	1038	64
GCfix_to_GCall	P5_combined_context	4	126	11	2027	d6e6e3f0f521315d482244b2c347593ed043c1656d61bfa53912512b6a00117e	0.9987819588617632	0	1.0041393185602725	2027	126
GCfix_to_GCall	P5_combined_context	4	127	8	2040	a95faa02b298050d6387fa5eaf2a720483c39d4c9d0c26e274c9f103d607c71a	0.9997207650890269	0	1.0051338247743322	2040	127
